Entrance,Exit,Number of Exits
15,17,2
15,18,3
15,19,4
15,20,5
15,21,6
15,21B,7
15,22,8
15,23,9
15,24,10
15,25,11
15,25A,12
15,26,13
15,27,14
15,28,15
15,29,16
15,29A,17
15,30,18
15,31,19
15,32,20
15,33,21
15,34,22
15,34A,23
15,35,24
15,36,25
15,37,26
15,38,27
15,39,28
15,40,29
15,41,30
15,42,31
15,43,32
15,44,33
15,45,34
15,46,35
15,47,36
15,48,37
15,48A,38
15,49,39
15,50,40
15,B1,9
15,B2,10
15,B3,11
16,15,1
16,16H,1
16,17,2
16,18,3
16,19,4
16,20,5
16,21,6
16,21B,7
16,22,8
16,23,9
16,24,10
16,25,11
16,25A,12
16,26,13
16,27,14
16,28,15
16,29,16
16,29A,17
16,30,18
16,31,19
16,32,20
16,33,21
16,34,22
16,34A,23
16,35,24
16,36,25
16,37,26
16,38,27
16,39,28
16,40,29
16,41,30
16,42,31
16,43,32
16,44,33
16,45,34
16,46,35
16,47,36
16,48,37
16,48A,38
16,49,39
16,50,40
16,B1,9
16,B2,10
16,B3,11
17,15,2
17,16H,1
17,18,1
17,19,2
17,20,3
17,21,4
17,21B,5
17,22,6
17,23,7
17,24,8
17,25,9
17,25A,10
17,26,11
17,27,12
17,28,13
17,29,14
17,29A,15
17,30,16
17,31,17
17,32,18
17,33,19
17,34,20
17,34A,21
17,35,22
17,36,23
17,37,24
17,38,25
17,39,26
17,40,27
17,41,28
17,42,29
17,43,30
17,44,31
17,45,32
17,46,33
17,47,34
17,48,35
17,48A,36
17,49,37
17,50,38
17,B1,7
17,B2,8
17,B3,9
18,15,3
18,16H,2
18,17,1
18,19,2
18,20,3
18,21,4
18,21B,5
18,22,6
18,23,7
18,24,8
18,25,9
18,25A,10
18,26,11
18,27,12
18,28,13
18,29,14
18,29A,15
18,30,16
18,31,17
18,32,18
18,33,19
18,34,20
18,34A,21
18,35,22
18,36,23
18,37,24
18,38,25
18,39,26
18,40,27
18,41,28
18,42,29
18,43,30
18,44,31
18,45,32
18,46,33
18,47,34
18,48,35
18,48A,36
18,49,37
18,50,38
18,B1,7
18,B2,8
18,B3,9
19,15,4
19,16H,3
19,17,2
19,18,1
19,20,1
19,21,2
19,21B,3
19,22,4
19,23,5
19,24,6
19,25,7
19,25A,8
19,26,9
19,27,10
19,28,11
19,29,12
19,29A,13
19,30,14
19,31,15
19,32,16
19,33,17
19,34,18
19,34A,19
19,35,20
19,36,21
19,37,22
19,38,23
19,39,24
19,40,25
19,41,26
19,42,27
19,43,28
19,44,29
19,45,30
19,46,31
19,47,32
19,48,33
19,48A,34
19,49,35
19,50,36
19,B1,5
19,B2,6
19,B3,7
20,15,5
20,16H,4
20,17,3
20,18,2
20,19,1
20,21,1
20,21B,2
20,22,3
20,23,4
20,24,5
20,25,6
20,25A,7
20,26,8
20,27,9
20,28,10
20,29,11
20,29A,12
20,30,13
20,31,14
20,32,15
20,33,16
20,34,17
20,34A,18
20,35,19
20,36,20
20,37,21
20,38,22
20,39,23
20,40,24
20,41,25
20,42,26
20,43,27
20,44,28
20,45,29
20,46,30
20,47,31
20,48,32
20,48A,33
20,49,34
20,50,35
20,B1,4
20,B2,5
20,B3,6
21,15,6
21,16H,5
21,17,4
21,18,3
21,19,2
21,20,1
21,21B,1
21,22,2
21,23,3
21,24,4
21,25,5
21,25A,6
21,26,7
21,27,8
21,28,9
21,29,10
21,29A,11
21,30,12
21,31,13
